25056	22768
5296	0
6112	304
3248	1504
2032	3920
2512	6016
3264	7936
4560	9328
8320	9856
15664	10496
16480	12784
10992	14528
10688	14896
14768	15584
20128	16976
20928	19440
20000	20416
19984	20496
20272	21472
21312	22928
24528	24432
26832	26272
27072	26880
27296	27744
27744	28416
29536	29696
31472	31424
32416	32304
32992	33248
33744	33904
34784	34816
35776	36144
36368	37296
37424	37808
38848	38464
39424	39808
40416	41072
40752	41440
41872	41968
42672	42688
43472	43712
43792	44048
44832	44880
45504	45600
46000	46256
46512	46704
46896	47248
48016	48272
48624	48848
48960	49200
49360	49440
49632	49552
49904	50000
50304	50560
50912	51152
50976	51328
51440	51440
51504	51536
51648	51776
51824	52032
52192	52368
52464	52464
52496	52432
52464	52448
52480	52416
52416	52336
52416	52288
52352	52240
52304	52464
52256	52448
52176	52096
51936	51616
51616	51376
51216	51040
50752	50800
50512	50496
50352	50336
50096	50144
49520	49600
48800	48688
48464	48416
48224	48048
47872	47568
47264	46928
46176	45888
45440	45168
45056	44832
44592	44416
44112	43856
43488	42848
42352	42032
41472	41456
40928	40464
39744	39536
39392	38736
38400	38000
37392	37280
36416	36288
35632	35504
35056	34416
34000	33408
32704	32448
31440	31088
30448	30208
29680	29248
28880	28304
27248	27216
26320	25968
24992	24592
23872	23728
22960	22752
21968	21744
20480	20288
18960	19056
18160	18128
16784	16688
15616	15504
14432	13952
13280	12912
11616	11984
10384	10352
9344	9008
8640	7744
7216	6688
6128	5840
4544	4512
3152	2816
2608	1648
2112	672
5840	4256
61328	49280
65520	58224
63008	58528
62176	59248
60064	60304
56000	60592
54800	60448
53872	59888
53168	58880
50992	50128
50656	47296
50080	48800
48752	48656
47424	47808
46032	45488
44768	43664
44000	43072
42720	42000
41168	40864
39808	39920
38944	38688
38128	37200
36768	35968
35728	35088
34704	34784
33504	33568
31840	32608
31552	30992
31312	29520
30448	29120
28256	28880
26768	27776
26672	26960
26864	26192
26176	25280
25072	24080
23040	23504
21776	22384
21584	21888
21600	21456
21472	20944
21216	20240
19904	19456
18384	18896
17248	17952
16944	17456
17136	17008
17040	16624
16928	16240
16832	15904
15664	15856
14688	15104
14192	14464
13824	14144
14064	14016
14032	13920
13968	13872
13968	13648
13840	13456
13472	13216
13040	13088
12592	13056
12576	13072
12656	13088
12720	13136
12544	13152
12848	13200
12896	13200
13040	13360
13232	13616
13648	13904
14176	14288
15040	14624
15792	14960
15904	15328
15968	15728
15952	16192
16032	16608
16240	16864
16784	16912
17552	17408
18208	18400
19424	19200
20128	20128
20560	20528
20912	20880
21360	21440
22192	22032
23232	23264
24240	24288
24992	24880
25360	25808
26224	26112
26960	26928
28096	28272
28976	29568
30112	30240
30912	31200
31520	31776
32752	32800
33888	34224
35040	35280
36224	36144
37360	37600
38288	38448
39136	39584
40032	40832
41920	41872
42752	43008
44016	44224
45056	45680
46112	47008
47152	47920
48640	49472
49984	50672
51296	51504
52656	53008
53536	54448
54928	56000
56112	56512
57280	56272
58384	56352
59168	56704
60576	57296
61856	56688
63808	56592
58400	56224
10944	15136
11904	304
5488	720
3344	1040
3600	1408
2608	1696
3248	10112
4560	20304
8896	13936
17616	6400
20688	8976
14768	17792
11232	20384
14048	16368
20048	16080
22448	19888
